iter	Logloss
322	0.200850737
323	0.2006742444
324	0.2004859892
325	0.2003175159
326	0.2001992342
327	0.2000267156
328	0.1998670942
329	0.1996836781
330	0.1995285344
331	0.1993522303
332	0.199164795
333	0.1990184025
334	0.1986599209
335	0.1984470879
336	0.1982215563
337	0.1980797198
338	0.197945695
339	0.1977951203
340	0.1976536678
341	0.1974716656
342	0.1973208509
343	0.197143881
344	0.1970344283
345	0.1968082275
346	0.1966723562
347	0.1964890828
348	0.1963422308
349	0.1962219696
350	0.196035331
351	0.195925044
352	0.1958371772
353	0.1956884005
354	0.1954938218
355	0.1953859079
356	0.1952267366
357	0.1949812273
358	0.1948807161
359	0.1947114276
360	0.1945335732
361	0.1944174349
362	0.1942541445
363	0.1939611912
364	0.1937964222
365	0.1936545874
366	0.1935300272
367	0.1934580767
368	0.1933076642
369	0.1930526809
370	0.1928763098
371	0.1927359823
372	0.1925606067
373	0.1923984446
374	0.1922441533
375	0.1921193155
376	0.1919922473
377	0.1917849701
378	0.1917038326
379	0.1915472287
380	0.191223892
381	0.1910823178
382	0.1907812523
383	0.1907313938
384	0.1905933734
385	0.1904589828
386	0.1902623519
387	0.1901392762
388	0.1900404795
389	0.1898832761
390	0.1897172798
391	0.1895715631
392	0.1894410322
393	0.1892963762
394	0.1892007079
395	0.1890979303
396	0.1887720712
397	0.188644692
398	0.188537333
399	0.1884403518
400	0.1883262225
401	0.1882210607
402	0.1880773074
403	0.1879633799
404	0.1878335513
405	0.1876581084
406	0.1875756652
407	0.1874779684
408	0.1873287863
409	0.1871437467
410	0.1869789945
411	0.1868526641
412	0.186777634
413	0.1866111593
414	0.1864345471
415	0.1863227292
416	0.1862302709
417	0.1861246944
418	0.1858487243
419	0.1856993692
420	0.1855982543
421	0.1854721713
422	0.1853362869
423	0.1851820701
424	0.1851084583
425	0.1849766716
426	0.1848741733
427	0.1847533876
428	0.1846596512
429	0.1845247107
430	0.1843982278
431	0.1843470056
432	0.1841805653
433	0.1840620895
434	0.1839653851
435	0.183813872
436	0.1836375461
437	0.1835716749
438	0.1833015127
439	0.1832081308
440	0.1829100235
441	0.1828091162
442	0.1827131015
443	0.1825663326
444	0.1824164715
445	0.1822700623
446	0.1820228239
447	0.181952054
448	0.1817108064
449	0.1815326204
450	0.1813948844
451	0.1812896389
452	0.1811974168
453	0.1809681055
454	0.180878357
455	0.1807435972
456	0.1806298079
457	0.1805353315
458	0.1804242172
459	0.1802721631
460	0.1802180092
461	0.1801279547
462	0.1800032112
463	0.1798778823
464	0.1797432761
465	0.1795993864
466	0.1795211021
467	0.179401309
468	0.179289464
469	0.1791279115
470	0.1790108214
471	0.1787808648
472	0.1786888621
473	0.1786160055
474	0.1785397286
475	0.1784157721
476	0.1783344547
477	0.1782293295
478	0.1781030602
479	0.1778957461
480	0.1776286048
481	0.1775466087
482	0.177462869
483	0.1773466662
484	0.1771633285
485	0.1770308861
486	0.1769498097
487	0.1768628251
488	0.1767482551
489	0.176680194
490	0.1764858954
491	0.1762890266
492	0.1762132112
493	0.1761048306
494	0.1759859242
495	0.1758140802
496	0.1756946184
497	0.1756029936
498	0.1755551845
499	0.1753145408
500	0.1752508983
501	0.1751025522
502	0.1750193773
503	0.1749260468
504	0.1747671759
505	0.1746704793
506	0.1745103198
507	0.1744484203
508	0.1743201981
509	0.1742033053
510	0.1740872547
511	0.1739299665
512	0.1737952744
513	0.173683986
514	0.1735763651
515	0.1735464684
516	0.1734287768
517	0.1732831443
518	0.1731709164
519	0.1729624487
520	0.172846163
521	0.1727349268
522	0.1726773982
523	0.1725686323
524	0.1724429191
525	0.1722520533
526	0.1721132769
527	0.1720252174
528	0.1718929488
529	0.171810918
530	0.1717292563
531	0.1715599233
532	0.1713884151
533	0.1712742777
534	0.1711142322
535	0.1710130246
536	0.1709532495
537	0.1708973254
538	0.1708291176
539	0.1707380754
540	0.1706270512
541	0.1705277019
542	0.1703883147
543	0.1702584922
544	0.1700611965
545	0.1699889172
546	0.1699155513
547	0.1697137784
548	0.169563836
549	0.1694546378
550	0.1693736177
551	0.1692182306
552	0.169137509
553	0.1690866697
554	0.168987098
555	0.1688524475
556	0.1687588447
557	0.1686559627
558	0.1685728195
559	0.168448416
560	0.1683484764
561	0.1682989719
562	0.1681337533
563	0.1680942791
564	0.1680217527
565	0.1678442602
566	0.1677214625
567	0.1675965357
568	0.1675008674
569	0.1674211084
570	0.1673317629
571	0.1672248744
572	0.167196929
573	0.1670360331
574	0.1668790571
575	0.1668112187
576	0.1666638361
577	0.1665515424
578	0.1664277413
579	0.1663052507
580	0.1662483633
581	0.1661868808
582	0.1660660546
583	0.1659149062
584	0.1657743919
585	0.1655464978
586	0.165440916
587	0.1653591299
588	0.165233017
589	0.1651333805
590	0.1650859613
591	0.1649676301
592	0.1648825371
593	0.1648127716
594	0.1647222564
595	0.1646154563
596	0.1645447412
597	0.1644530717
598	0.16433223
599	0.1641880888
600	0.164147852
601	0.1640302074
602	0.1640065908
603	0.1638942568
604	0.163781329
605	0.1636615365
606	0.1635880675
607	0.1634978262
608	0.1633892188
609	0.163234526
610	0.1631459209
611	0.1631007452
612	0.1629751829
613	0.1628759065
614	0.1627504393
615	0.1626489567
616	0.16259127
617	0.162536446
618	0.1624535183
619	0.1623743379
620	0.1622613968
621	0.1621866401
622	0.1620837303
623	0.1618964171
624	0.1618024178
625	0.1616975041
626	0.1615760351
627	0.1615342858
628	0.1614690688
629	0.1614006885
630	0.1613621671
631	0.1612922436
632	0.1611678276
633	0.1610175974
634	0.1609803266
635	0.1609080824
636	0.1608092045
637	0.1607485779
638	0.1606493359
639	0.1605558731
640	0.1603126098
641	0.1601849632
642	0.1600581214
643	0.1599728844
644	0.159900249
645	0.1597979946
646	0.1596947875
647	0.1596402345
648	0.1595271834
649	0.1594133712
650	0.1593169696
651	0.1591168597
652	0.1589358908
653	0.1588411391
654	0.1586747136
655	0.1585437926
656	0.1584501618
657	0.1583379509
658	0.1582394204
659	0.1580852325
660	0.1579568317
661	0.1578109303
662	0.1577130683
663	0.1575729851
664	0.1575410821
665	0.1574450555
666	0.1573124886
667	0.1572338112
668	0.1570947281
669	0.1570048219
670	0.1569210324
671	0.156843144
672	0.1567165836
673	0.1566486847
674	0.1565891757
675	0.1564928792
676	0.1564037575
677	0.1563171348
678	0.1562251086
679	0.1561940961
680	0.1561035882
681	0.1559998282
682	0.1559144884
683	0.1558102419
684	0.1556699853
685	0.1556004377
686	0.155484029
687	0.1554067695
688	0.1553043556
689	0.1552051476
690	0.1550948531
691	0.1549955349
692	0.154903669
693	0.1548760055
694	0.1548210454
695	0.1547653284
696	0.1546897684
697	0.154609212
698	0.1545356938
699	0.1544497909
700	0.1543902238
701	0.1543006008
702	0.1541671277
703	0.1540769443
704	0.1539793583
705	0.1538874426
706	0.1537748602
707	0.1536774038
708	0.1535898825
709	0.1535031162
710	0.1534669363
711	0.1533818006
712	0.1533067588
713	0.1531944895
714	0.1531590682
715	0.1530942156
716	0.1530393601
717	0.1529342898
718	0.1528434796
719	0.1527757143
720	0.1526494869
721	0.1525948042
722	0.1525249328
723	0.1524610698
724	0.1524340614
725	0.152330682
726	0.1522403763
727	0.1522033031
728	0.1520397854
729	0.1519653164
730	0.1518818553
731	0.1517185477
732	0.1516073087
733	0.1515535099
734	0.1514711526
735	0.1513702557
736	0.1512531166
737	0.1512302822
738	0.1511733249
739	0.151132358
740	0.151010424
741	0.1509191591
742	0.1508434872
743	0.1506638407
744	0.1505924463
745	0.1504714402
746	0.1503939498
747	0.1503289521
748	0.1502870222
749	0.1501779863
750	0.150125702
751	0.1500892908
752	0.149968415
753	0.1499055577
754	0.1498468019
755	0.1497500931
756	0.1496317008
757	0.1495689029
758	0.1495585612
759	0.1495236959
760	0.1494211715
761	0.1493211357
762	0.1492105464
763	0.1490957781
764	0.1490663688
765	0.1489792643
766	0.1488681519
767	0.1488456012
768	0.1487908327
769	0.1487091614
770	0.1486145185
771	0.1485231296
772	0.1484903572
773	0.1484286857
774	0.1483525834
775	0.1482808158
776	0.1481858484
777	0.1481336867
778	0.1480478076
779	0.1479783929
780	0.1478986057
781	0.1478687894
782	0.1477880079
783	0.1476880618
784	0.1475550952
785	0.1475276893
786	0.1474586929
787	0.1473555169
788	0.1472827404
789	0.1472262704
790	0.1471493268
791	0.1470244138
792	0.1469631626
793	0.1469184276
794	0.1468972874
795	0.1468390154
796	0.14674643
797	0.1465981543
798	0.1464997972
799	0.1463988308
800	0.1463283622
801	0.1462077423
802	0.1461338839
803	0.1460955406
804	0.1460229266
805	0.1459423424
806	0.1458703371
807	0.1458281075
808	0.1457320603
809	0.1456029934
810	0.1455379068
811	0.1454295967
812	0.145346606
813	0.1452501358
814	0.1451721542
815	0.1451013416
816	0.1450595122
817	0.1450320791
818	0.1449313391
819	0.1448808691
820	0.1447908112
821	0.144738701
822	0.1446542831
823	0.1445835903
824	0.1444457265
825	0.1444038801
826	0.1443226988
827	0.1442611457
828	0.1442206918
829	0.1441367811
830	0.144053176
831	0.1440327787
832	0.1438774661
833	0.143778838
834	0.1437252092
835	0.1436634517
836	0.1436314697
837	0.14354465
838	0.143484735
839	0.1433525081
840	0.1432821251
841	0.1432436843
842	0.1432234023
843	0.1431571316
844	0.1430820709
845	0.143007409
846	0.1429241479
847	0.1428853953
848	0.1428237633
849	0.142726198
850	0.1426680669
851	0.142588738
852	0.1425027663
853	0.1423843214
854	0.1423310623
855	0.1422399392
856	0.1421180448
857	0.1420782126
858	0.1420134191
859	0.1419694002
860	0.1418811029
861	0.1418140178
862	0.1416964619
863	0.1416107809
864	0.1414790782
865	0.1414282262
866	0.1413806514
867	0.1413098469
868	0.1412252297
869	0.1411269342
870	0.1410434005
871	0.1409717142
872	0.1408640259
873	0.1407904578
874	0.1407337479
875	0.1406462303
876	0.1405713558
877	0.1405281301
878	0.1404685463
879	0.1404259709
880	0.1403563534
881	0.1402770931
882	0.1402221818
883	0.1401460362
884	0.1400889367
885	0.1400167115
886	0.1399386136
887	0.1398451191
888	0.1397480096
889	0.1396671961
890	0.1395975942
891	0.139482121
892	0.1394358579
893	0.1393594546
894	0.1392843999
895	0.1392284358
896	0.1391636541
897	0.1391079346
898	0.1390616345
899	0.1389858347
900	0.1388758227
901	0.1387559078
902	0.1386602106
903	0.138563617
904	0.1384943256
905	0.1384265618
906	0.1383165263
907	0.1382655894
908	0.1381952059
909	0.1381209326
910	0.1380310514
911	0.1379778284
912	0.1379002547
913	0.137784568
914	0.1377316112
915	0.1376592232
916	0.1376089557
917	0.1375628579
918	0.1374911485
919	0.1374442641
920	0.137289755
921	0.1372515866
922	0.1371903259
923	0.1371192918
924	0.1371105277
925	0.1370261299
926	0.1369580656
927	0.1369119833
928	0.1368347315
929	0.1367119842
930	0.1366290292
931	0.1365493373
932	0.1364956152
933	0.1364346319
934	0.1363473538
935	0.1362755498
936	0.1362243613
937	0.1361702103
938	0.1360844912
939	0.1360629275
940	0.1360481028
941	0.1359739391
942	0.1359047648
943	0.1358943302
944	0.13582439
945	0.1357457105
946	0.1356827881
947	0.1356143964
948	0.1355514003
949	0.1354428457
950	0.1353720639
951	0.1353020712
952	0.135243707
953	0.135170438
954	0.1350779259
955	0.1350016004
956	0.1349217869
957	0.1348679095
958	0.1348110415
959	0.1347273157
960	0.1347199718
961	0.1346512298
962	0.1346080265
963	0.1345549576
964	0.1344963099
965	0.1344213595
966	0.1343676013
967	0.1343082806
968	0.1342563159
969	0.1342000837
970	0.1341239467
971	0.1340678571
972	0.1339934769
973	0.1339454506
974	0.1338625508
975	0.1337863049
976	0.1337219751
977	0.1336485036
978	0.1335990978
979	0.1335193133
980	0.1334434399
981	0.1333463248
982	0.1333148647
983	0.1332704258
984	0.1332151236
985	0.1331606315
986	0.1330999927
987	0.1330556594
988	0.1329914617
989	0.1329502397
990	0.1328799853
991	0.1327769544
992	0.1327027783
993	0.1326773934
994	0.1326361336
995	0.132603034
996	0.1325411785
997	0.1324829421
998	0.1324530389
999	0.1323664977
